timestamp,vm_id,avg_cpu
2017-01-01T00:00:00Z,vm-a,22
2017-01-01T00:00:00Z,vm-b,18
2017-01-01T00:00:00Z,vm-c,12
2017-01-01T00:00:00Z,vm-d,35
2017-01-01T00:00:00Z,vm-e,28
2017-01-01T00:00:00Z,vm-f,16
2017-01-01T00:05:00Z,vm-a,24
2017-01-01T00:05:00Z,vm-b,20
2017-01-01T00:05:00Z,vm-c,15
2017-01-01T00:05:00Z,vm-d,38
2017-01-01T00:05:00Z,vm-e,31
2017-01-01T00:05:00Z,vm-f,15
2017-01-01T00:10:00Z,vm-a,27
2017-01-01T00:10:00Z,vm-b,22
2017-01-01T00:10:00Z,vm-c,18
2017-01-01T00:10:00Z,vm-d,41
2017-01-01T00:10:00Z,vm-e,33
2017-01-01T00:10:00Z,vm-f,17
2017-01-01T00:15:00Z,vm-a,31
2017-01-01T00:15:00Z,vm-b,28
2017-01-01T00:15:00Z,vm-c,21
2017-01-01T00:15:00Z,vm-d,56
2017-01-01T00:15:00Z,vm-e,49
2017-01-01T00:15:00Z,vm-f,24
2017-01-01T00:20:00Z,vm-a,37
2017-01-01T00:20:00Z,vm-b,34
2017-01-01T00:20:00Z,vm-c,28
2017-01-01T00:20:00Z,vm-d,92
2017-01-01T00:20:00Z,vm-e,63
2017-01-01T00:20:00Z,vm-f,29
2017-01-01T00:25:00Z,vm-a,44
2017-01-01T00:25:00Z,vm-b,39
2017-01-01T00:25:00Z,vm-c,32
2017-01-01T00:25:00Z,vm-d,96
2017-01-01T00:25:00Z,vm-e,71
2017-01-01T00:25:00Z,vm-f,30
2017-01-01T00:30:00Z,vm-a,40
2017-01-01T00:30:00Z,vm-b,36
2017-01-01T00:30:00Z,vm-c,30
2017-01-01T00:30:00Z,vm-d,88
2017-01-01T00:30:00Z,vm-e,66
2017-01-01T00:30:00Z,vm-f,27
2017-01-01T00:35:00Z,vm-a,34
2017-01-01T00:35:00Z,vm-b,30
2017-01-01T00:35:00Z,vm-c,24
2017-01-01T00:35:00Z,vm-d,62
2017-01-01T00:35:00Z,vm-e,52
2017-01-01T00:35:00Z,vm-f,22
2017-01-01T00:40:00Z,vm-a,29
2017-01-01T00:40:00Z,vm-b,24
2017-01-01T00:40:00Z,vm-c,19
2017-01-01T00:40:00Z,vm-d,48
2017-01-01T00:40:00Z,vm-e,39
2017-01-01T00:40:00Z,vm-f,19
2017-01-01T00:45:00Z,vm-a,25
2017-01-01T00:45:00Z,vm-b,21
2017-01-01T00:45:00Z,vm-c,16
2017-01-01T00:45:00Z,vm-d,42
2017-01-01T00:45:00Z,vm-e,34
2017-01-01T00:45:00Z,vm-f,18
2017-01-01T00:50:00Z,vm-a,23
2017-01-01T00:50:00Z,vm-b,19
2017-01-01T00:50:00Z,vm-c,14
2017-01-01T00:50:00Z,vm-d,38
2017-01-01T00:50:00Z,vm-e,30
2017-01-01T00:50:00Z,vm-f,16
2017-01-01T00:55:00Z,vm-a,21
2017-01-01T00:55:00Z,vm-b,17
2017-01-01T00:55:00Z,vm-c,13
2017-01-01T00:55:00Z,vm-d,33
2017-01-01T00:55:00Z,vm-e,27
2017-01-01T00:55:00Z,vm-f,15
2017-01-01T01:00:00Z,vm-a,26
2017-01-01T01:00:00Z,vm-b,23
2017-01-01T01:00:00Z,vm-c,18
2017-01-01T01:00:00Z,vm-d,45
2017-01-01T01:00:00Z,vm-e,36
2017-01-01T01:00:00Z,vm-f,20
2017-01-01T01:05:00Z,vm-a,32
2017-01-01T01:05:00Z,vm-b,29
2017-01-01T01:05:00Z,vm-c,25
2017-01-01T01:05:00Z,vm-d,68
2017-01-01T01:05:00Z,vm-e,55
2017-01-01T01:05:00Z,vm-f,26
2017-01-01T01:10:00Z,vm-a,39
2017-01-01T01:10:00Z,vm-b,35
2017-01-01T01:10:00Z,vm-c,31
2017-01-01T01:10:00Z,vm-d,98
2017-01-01T01:10:00Z,vm-e,74
2017-01-01T01:10:00Z,vm-f,31
2017-01-01T01:15:00Z,vm-a,43
2017-01-01T01:15:00Z,vm-b,38
2017-01-01T01:15:00Z,vm-c,34
2017-01-01T01:15:00Z,vm-d,91
2017-01-01T01:15:00Z,vm-e,69
2017-01-01T01:15:00Z,vm-f,33
2017-01-01T01:20:00Z,vm-a,36
2017-01-01T01:20:00Z,vm-b,32
2017-01-01T01:20:00Z,vm-c,27
2017-01-01T01:20:00Z,vm-d,73
2017-01-01T01:20:00Z,vm-e,57
2017-01-01T01:20:00Z,vm-f,26
2017-01-01T01:25:00Z,vm-a,30
2017-01-01T01:25:00Z,vm-b,25
2017-01-01T01:25:00Z,vm-c,21
2017-01-01T01:25:00Z,vm-d,52
2017-01-01T01:25:00Z,vm-e,41
2017-01-01T01:25:00Z,vm-f,22
2017-01-01T01:30:00Z,vm-a,27
2017-01-01T01:30:00Z,vm-b,22
2017-01-01T01:30:00Z,vm-c,17
2017-01-01T01:30:00Z,vm-d,44
2017-01-01T01:30:00Z,vm-e,34
2017-01-01T01:30:00Z,vm-f,18
2017-01-01T01:35:00Z,vm-a,24
2017-01-01T01:35:00Z,vm-b,19
2017-01-01T01:35:00Z,vm-c,15
2017-01-01T01:35:00Z,vm-d,39
2017-01-01T01:35:00Z,vm-e,31
2017-01-01T01:35:00Z,vm-f,16
