timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha
2017-01-01 00:00:00+00:00,1.15,1.15,0.35,0.22999999,5,0,linear,1.0,2.0
2017-01-01 00:05:00+00:00,1.28,1.28,0.38,0.25599998,5,0,linear,1.0,2.0
2017-01-01 00:10:00+00:00,1.4100001,1.4100001,0.41,0.282,5,0,linear,1.0,2.0
2017-01-01 00:15:00+00:00,1.85,1.85,0.56,0.37,5,0,linear,1.0,2.0
2017-01-01 00:20:00+00:00,2.54,2.54,0.92,0.508,5,1,linear,1.0,2.0
2017-01-01 00:25:00+00:00,2.82,2.82,0.96,0.564,5,1,linear,1.0,2.0
2017-01-01 00:30:00+00:00,2.6,2.6,0.88,0.52,5,0,linear,1.0,2.0
2017-01-01 00:35:00+00:00,2.02,2.02,0.62,0.40399998,5,0,linear,1.0,2.0
2017-01-01 00:40:00+00:00,1.5899999,1.5899999,0.48,0.318,5,0,linear,1.0,2.0
2017-01-01 00:45:00+00:00,1.38,1.38,0.42,0.276,5,0,linear,1.0,2.0
2017-01-01 00:50:00+00:00,1.24,1.24,0.38,0.248,5,0,linear,1.0,2.0
2017-01-01 00:55:00+00:00,1.11,1.11,0.33,0.222,5,0,linear,1.0,2.0
2017-01-01 01:00:00+00:00,1.48,1.48,0.45,0.296,5,0,linear,1.0,2.0
2017-01-01 01:05:00+00:00,2.09,2.09,0.68,0.41799998,5,0,linear,1.0,2.0
2017-01-01 01:10:00+00:00,2.77,2.77,0.98,0.554,5,1,linear,1.0,2.0
2017-01-01 01:15:00+00:00,2.75,2.75,0.91,0.55,5,1,linear,1.0,2.0
2017-01-01 01:20:00+00:00,2.25,2.25,0.73,0.45,5,0,linear,1.0,2.0
2017-01-01 01:25:00+00:00,1.6899999,1.6899999,0.52,0.338,5,0,linear,1.0,2.0
2017-01-01 01:30:00+00:00,1.44,1.44,0.44,0.28800002,5,0,linear,1.0,2.0
2017-01-01 01:35:00+00:00,1.28,1.28,0.39,0.25599998,5,0,linear,1.0,2.0
