mapping,seed,checkpoint,stage,naive_task_1_reward,replay_task_1_reward,reactive_stage_reward,naive_rolling_bwt,replay_rolling_bwt,naive_forgetting,replay_forgetting
linear,7,1,1,-366.7036956548691,-366.7036956548691,-423.8431103388468,0.0,0.0,0.0,0.0
linear,7,25,2,-1015.1699900627136,-366.7036956548691,-434.18704797029477,-648.4662944078445,0.0,648.4662944078445,0.0
linear,7,50,3,-349.1242551803589,-327.59791588783264,-491.9237703184287,17.579440474510193,39.10577976703644,0.0,0.0
linear,7,75,4,-347.23823404312134,-329.33999133110046,-490.17961324453336,19.46546161174774,37.363704323768616,0.0,0.0
linear,7,100,5,-515.4153447151184,-323.4201319515705,-499.83730963468537,-148.71164906024933,43.28356370329857,148.71164906024933,0.0
linear,7,125,6,-363.4757323265076,-307.44748416543007,-287.77653590838116,3.2279633283615112,59.25621148943901,0.0,0.0
linear,8,1,1,-521.3064260482788,-521.3064260482788,-423.8431103388468,0.0,0.0,0.0,0.0
linear,8,25,2,-735.3730783462524,-484.5246903896332,-434.18704797029477,-214.06665229797363,36.78173565864563,214.06665229797363,0.0
linear,8,50,3,-630.7741222381592,-370.8367805480957,-491.9237703184287,-109.46769618988036,150.4696455001831,109.46769618988036,0.0
linear,8,75,4,-661.2832803726196,-383.4295406341553,-490.17961324453336,-139.97685432434082,137.87688541412354,139.97685432434082,0.0
linear,8,100,5,-271.847654491663,-353.22826302051544,-499.83730963468537,249.45877155661583,168.07816302776337,0.0,0.0
linear,8,125,6,-291.4008095562458,-334.1458456516266,-287.77653590838116,229.905616492033,187.16058039665225,0.0,0.0
linear,9,1,1,-515.2979836463928,-515.2979836463928,-423.8431103388468,0.0,0.0,0.0,0.0
linear,9,25,2,-962.7810921669006,-338.4089767932892,-434.18704797029477,-447.4831085205078,176.88900685310364,447.4831085205078,0.0
linear,9,50,3,-962.7810921669006,-347.28261482715607,-491.9237703184287,-447.4831085205078,168.01536881923676,447.4831085205078,0.0
linear,9,75,4,-962.7810921669006,-361.8655699491501,-490.17961324453336,-447.4831085205078,153.43241369724274,447.4831085205078,0.0
linear,9,100,5,-962.7810921669006,-322.2956680059433,-499.83730963468537,-447.4831085205078,193.00231564044952,447.4831085205078,0.0
linear,9,125,6,-962.7810921669006,-283.0023593902588,-287.77653590838116,-447.4831085205078,232.29562425613403,447.4831085205078,0.0
convex,7,1,1,-496.0740129351616,-496.0740129351616,-552.9429635922113,0.0,0.0,0.0,0.0
convex,7,25,2,-335.0525421500206,-435.380945622921,-523.9809528559447,161.021470785141,60.6930673122406,0.0,0.0
convex,7,50,3,-319.6571223139763,-300.4447742700577,-518.1131430032352,176.4168906211853,195.6292386651039,0.0,0.0
convex,7,75,4,-370.89950984716415,-287.2483879327774,-558.9565045118336,125.17450308799744,208.8256250023842,0.0,0.0
convex,7,100,5,-331.5504302382469,-287.2483879327774,-550.881430483858,164.52358269691467,208.8256250023842,0.0,0.0
convex,7,125,6,-646.7406371235847,-287.2483879327774,-348.3140161792436,-150.66662418842316,208.8256250023842,150.66662418842316,0.0
convex,8,1,1,-504.00175219774246,-504.00175219774246,-552.9429635922113,0.0,0.0,0.0,0.0
convex,8,25,2,-424.8901850581169,-414.0482706427574,-523.9809528559447,79.11156713962555,89.95348155498505,0.0,0.0
convex,8,50,3,-646.7406371235847,-257.71133041381836,-518.1131430032352,-142.73888492584229,246.2904217839241,142.73888492584229,0.0
convex,8,75,4,-831.9484921097755,-222.4304284453392,-558.9565045118336,-327.9467399120331,281.57132375240326,327.9467399120331,0.0
convex,8,100,5,-501.80913585424423,-217.1570126414299,-550.881430483858,2.19261634349823,286.84473955631256,0.0,0.0
convex,8,125,6,-646.7406371235847,-222.49463748931885,-348.3140161792436,-142.73888492584229,281.5071147084236,142.73888492584229,0.0
convex,9,1,1,-281.9760224223137,-281.9760224223137,-552.9429635922113,0.0,0.0,0.0,0.0
convex,9,25,2,-428.80240815877914,-289.7095237970352,-523.9809528559447,-146.82638573646545,-7.733501374721527,146.82638573646545,7.733501374721527
convex,9,50,3,-930.709127008915,-228.21902114152908,-518.1131430032352,-648.7331045866013,53.75700128078461,648.7331045866013,0.0
convex,9,75,4,-903.0862780213356,-208.7733688354492,-558.9565045118336,-621.1102555990219,73.20265358686447,621.1102555990219,0.0
convex,9,100,5,-876.4481816887856,-232.08646088838577,-550.881430483858,-594.4721592664719,49.88956153392792,594.4721592664719,0.0
convex,9,125,6,-886.3986302018166,-204.2616050839424,-348.3140161792436,-604.4226077795029,77.71441733837128,604.4226077795029,0.0
threshold,7,1,1,-509.20416021347046,-509.20416021347046,-512.2088867704073,0.0,0.0,0.0,0.0
threshold,7,25,2,-725.5279899835587,-307.06707763671875,-421.0449046611784,-216.3238297700882,202.1370825767517,216.3238297700882,0.0
threshold,7,50,3,-359.0071153640747,-308.5768812298775,-545.1814626355963,150.19704484939575,200.627278983593,0.0,0.0
threshold,7,75,4,-347.0723719596863,-246.96021246910095,-463.5113219380379,162.13178825378418,262.2439477443695,0.0,0.0
threshold,7,100,5,-415.8093500733375,-255.5358483195305,-471.68865617116285,93.3948101401329,253.66831189393997,0.0,0.0
threshold,7,125,6,-321.8415351510048,-275.54123133420944,-301.14272646903976,187.36262506246567,233.66292887926105,0.0,0.0
threshold,8,1,1,-256.1316074728966,-256.1316074728966,-512.2088867704073,0.0,0.0,0.0,0.0
threshold,8,25,2,-347.7650621533394,-242.6041613817215,-421.0449046611784,-91.6334546804428,13.52744609117508,91.6334546804428,0.0
threshold,8,50,3,-337.5414720773697,-169.8095600605011,-545.1814626355963,-81.40986460447311,86.32204741239548,81.40986460447311,0.0
threshold,8,75,4,-404.9923532009125,-169.8095600605011,-463.5113219380379,-148.8607457280159,86.32204741239548,148.8607457280159,0.0
threshold,8,100,5,-386.2003720998764,-147.4480659365654,-471.68865617116285,-130.06876462697983,108.68354153633118,130.06876462697983,0.0
threshold,8,125,6,-264.5138002038002,-187.61710453033447,-301.14272646903976,-8.382192730903625,68.5145029425621,8.382192730903625,0.0
threshold,9,1,1,-418.12678503990173,-418.12678503990173,-512.2088867704073,0.0,0.0,0.0,0.0
threshold,9,25,2,-593.7115998268127,-303.24604856967926,-421.0449046611784,-175.584814786911,114.88073647022247,175.584814786911,0.0
threshold,9,50,3,-357.099042057991,-219.60120260715485,-545.1814626355963,61.027742981910706,198.5255824327469,0.0,0.0
threshold,9,75,4,-495.905167222023,-160.7011530995369,-463.5113219380379,-77.77838218212128,257.42563194036484,77.77838218212128,0.0
threshold,9,100,5,-336.51363784074783,-169.8095600605011,-471.68865617116285,81.6131471991539,248.31722497940063,0.0,0.0
threshold,9,125,6,-763.8934605121613,-176.62411457300186,-301.14272646903976,-345.7666754722595,241.50267046689987,345.7666754722595,0.0
