mapping,seed,checkpoint,stage,naive_task_1_reward,replay_task_1_reward,reactive_stage_reward,reactive_task_1_reward,naive_rolling_bwt,replay_rolling_bwt,reactive_rolling_bwt,naive_mean_prior_bwt,replay_mean_prior_bwt,reactive_mean_prior_bwt,naive_forgetting,replay_forgetting
convex,7,1,1,-496.0740129351616,-496.0740129351616,-552.9429635922113,-552.9429635922113,0.0,0.0,0.0,,,,0.0,0.0
convex,7,25,2,-335.0525421500206,-435.380945622921,-523.9809528559447,-552.9429635922113,161.021470785141,60.6930673122406,0.0,161.021470785141,60.6930673122406,0.0,0.0,0.0
convex,7,50,3,-319.6571223139763,-300.4447742700577,-518.1131430032352,-552.9429635922113,176.4168906211853,195.6292386651039,0.0,53.77886891365051,130.36313608288765,0.0,0.0,0.0
convex,7,75,4,-370.89950984716415,-287.2483879327774,-558.9565045118336,-552.9429635922113,125.17450308799744,208.8256250023842,0.0,53.67974370718002,140.16720710198084,0.0,0.0,0.0
convex,7,100,5,-331.5504302382469,-287.2483879327774,-550.881430483858,-552.9429635922113,164.52358269691467,208.8256250023842,0.0,67.98341329395771,86.04994262754917,0.0,0.0,0.0
convex,7,125,6,-646.7406371235847,-287.2483879327774,-348.3140161792436,-552.9429635922113,-150.66662418842316,208.8256250023842,0.0,-57.615170085430144,99.34223185777664,0.0,150.66662418842316,0.0
convex,8,1,1,-504.00175219774246,-504.00175219774246,-552.9429635922113,-552.9429635922113,0.0,0.0,0.0,,,,0.0,0.0
convex,8,25,2,-424.8901850581169,-414.0482706427574,-523.9809528559447,-552.9429635922113,79.11156713962555,89.95348155498505,0.0,79.11156713962555,89.95348155498505,0.0,0.0,0.0
convex,8,50,3,-646.7406371235847,-257.71133041381836,-518.1131430032352,-552.9429635922113,-142.73888492584229,246.2904217839241,0.0,-71.36944246292114,124.97393408417702,0.0,142.73888492584229,0.0
convex,8,75,4,-831.9484921097755,-222.4304284453392,-558.9565045118336,-552.9429635922113,-327.9467399120331,281.57132375240326,0.0,-109.31557997067769,114.15099537372589,0.0,327.9467399120331,0.0
convex,8,100,5,-501.80913585424423,-217.1570126414299,-550.881430483858,-552.9429635922113,2.19261634349823,286.84473955631256,0.0,0.5481540858745575,75.89777359366417,0.0,0.0,0.0
convex,8,125,6,-646.7406371235847,-222.49463748931885,-348.3140161792436,-552.9429635922113,-142.73888492584229,281.5071147084236,0.0,-138.32987945079805,62.841961693763736,0.0,142.73888492584229,0.0
