mapping,seed,method,final_task_1_bwt,final_mean_prior_bwt
convex,7,naive,-150.66662418842316,-57.615170085430144
convex,7,replay,208.8256250023842,99.34223185777664
convex,7,reactive,0.0,0.0
convex,8,naive,-142.73888492584229,-138.32987945079805
convex,8,replay,281.5071147084236,62.841961693763736
convex,8,reactive,0.0,0.0
convex,9,naive,-604.4226077795029,-120.88452155590058
convex,9,replay,77.71441733837128,11.142080891132355
convex,9,reactive,0.0,0.0
convex,10,naive,0.0,-39.29381775856018
convex,10,replay,422.44841104745865,84.55442798137665
convex,10,reactive,0.0,0.0
convex,11,naive,-190.50956124067307,-86.84117439985275
convex,11,replay,42.83334684371948,2.9245691180229185
convex,11,reactive,0.0,0.0
