mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
convex,7,naive,1,1,1,1,-496.0740129351616
convex,7,naive,2,25,1,1,-335.0525421500206
convex,7,naive,2,25,2,25,-342.5309676527977
convex,7,naive,3,50,1,1,-319.6571223139763
convex,7,naive,3,50,2,25,-411.390120446682
convex,7,naive,3,50,3,50,-650.9102454185486
convex,7,naive,4,75,1,1,-370.89950984716415
convex,7,naive,4,75,2,25,-485.70105212926865
convex,7,naive,4,75,3,50,-471.875432908535
convex,7,naive,4,75,4,75,-455.5736745595932
convex,7,naive,5,100,1,1,-331.5504302382469
convex,7,naive,5,100,2,25,-338.87352126836777
convex,7,naive,5,100,3,50,-547.7871016860008
convex,7,naive,5,100,4,75,-454.9441941976547
convex,7,naive,5,100,5,100,-372.09339106082916
convex,7,naive,6,125,1,1,-646.7406371235847
convex,7,naive,6,125,2,25,-338.87352126836777
convex,7,naive,6,125,3,50,-547.7871016860008
convex,7,naive,6,125,4,75,-677.1791839599609
convex,7,naive,6,125,5,100,-394.6776980161667
convex,7,naive,6,125,6,125,-174.82069963216782
convex,7,replay,1,1,1,1,-496.0740129351616
convex,7,replay,2,25,1,1,-435.380945622921
convex,7,replay,2,25,2,25,-473.95815509557724
convex,7,replay,3,50,1,1,-300.4447742700577
convex,7,replay,3,50,2,25,-408.86112159490585
convex,7,replay,3,50,3,50,-551.064979493618
convex,7,replay,4,75,1,1,-287.2483879327774
convex,7,replay,4,75,2,25,-341.4717053771019
convex,7,replay,4,75,3,50,-471.875432908535
convex,7,replay,4,75,4,75,-455.5736745595932
convex,7,replay,5,100,1,1,-287.2483879327774
convex,7,replay,5,100,2,25,-341.4717053771019
convex,7,replay,5,100,3,50,-548.1772837042809
convex,7,replay,5,100,4,75,-455.5736745595932
convex,7,replay,5,100,5,100,-374.10862600803375
convex,7,replay,6,125,1,1,-287.2483879327774
convex,7,replay,6,125,2,25,-338.87352126836777
convex,7,replay,6,125,3,50,-400.9087943434715
convex,7,replay,6,125,4,75,-454.9441941976547
convex,7,replay,6,125,5,100,-372.09339106082916
convex,7,replay,6,125,6,125,-258.69468224048615
convex,7,reactive,1,1,1,1,-552.9429635922113
convex,7,reactive,2,25,1,1,-552.9429635922113
convex,7,reactive,2,25,2,25,-523.9809528559447
convex,7,reactive,3,50,1,1,-552.9429635922113
convex,7,reactive,3,50,2,25,-523.9809528559447
convex,7,reactive,3,50,3,50,-518.1131430032352
convex,7,reactive,4,75,1,1,-552.9429635922113
convex,7,reactive,4,75,2,25,-523.9809528559447
convex,7,reactive,4,75,3,50,-518.1131430032352
convex,7,reactive,4,75,4,75,-558.9565045118336
convex,7,reactive,5,100,1,1,-552.9429635922113
convex,7,reactive,5,100,2,25,-523.9809528559447
convex,7,reactive,5,100,3,50,-518.1131430032352
convex,7,reactive,5,100,4,75,-558.9565045118336
convex,7,reactive,5,100,5,100,-550.881430483858
convex,7,reactive,6,125,1,1,-552.9429635922113
convex,7,reactive,6,125,2,25,-523.9809528559447
convex,7,reactive,6,125,3,50,-518.1131430032352
convex,7,reactive,6,125,4,75,-558.9565045118336
convex,7,reactive,6,125,5,100,-550.881430483858
convex,7,reactive,6,125,6,125,-348.3140161792436
convex,8,naive,1,1,1,1,-504.00175219774246
convex,8,naive,2,25,1,1,-424.8901850581169
convex,8,naive,2,25,2,25,-338.87352126836777
convex,8,naive,3,50,1,1,-646.7406371235847
convex,8,naive,3,50,2,25,-338.87352126836777
convex,8,naive,3,50,3,50,-547.7871016860008
convex,8,naive,4,75,1,1,-831.9484921097755
convex,8,naive,4,75,2,25,-338.87352126836777
convex,8,naive,4,75,3,50,-547.7871016860008
convex,8,naive,4,75,4,75,-454.9441941976547
convex,8,naive,5,100,1,1,-501.80913585424423
convex,8,naive,5,100,2,25,-338.87352126836777
convex,8,naive,5,100,3,50,-547.7871016860008
convex,8,naive,5,100,4,75,-454.9441941976547
convex,8,naive,5,100,5,100,-372.09339106082916
convex,8,naive,6,125,1,1,-646.7406371235847
convex,8,naive,6,125,2,25,-338.87352126836777
convex,8,naive,6,125,3,50,-547.7871016860008
convex,8,naive,6,125,4,75,-1003.8547065258026
convex,8,naive,6,125,5,100,-372.09339106082916
convex,8,naive,6,125,6,125,-174.82069963216782
convex,8,replay,1,1,1,1,-504.00175219774246
convex,8,replay,2,25,1,1,-414.0482706427574
convex,8,replay,2,25,2,25,-342.5309676527977
convex,8,replay,3,50,1,1,-257.71133041381836
convex,8,replay,3,50,2,25,-338.87352126836777
convex,8,replay,3,50,3,50,-395.0865031480789
convex,8,replay,4,75,1,1,-222.4304284453392
convex,8,replay,4,75,2,25,-338.87352126836777
convex,8,replay,4,75,3,50,-337.86228716373444
convex,8,replay,4,75,4,75,-454.9441941976547
convex,8,replay,5,100,1,1,-217.1570126414299
convex,8,replay,5,100,2,25,-338.87352126836777
convex,8,replay,5,100,3,50,-381.99759471416473
convex,8,replay,5,100,4,75,-454.9441941976547
convex,8,replay,5,100,5,100,-371.51976335048676
convex,8,replay,6,125,1,1,-222.49463748931885
convex,8,replay,6,125,2,25,-347.7630412578583
convex,8,replay,6,125,3,50,-337.86228716373444
convex,8,replay,6,125,4,75,-454.9441941976547
convex,8,replay,6,125,5,100,-390.8092119693756
convex,8,replay,6,125,6,125,-156.9711213707924
convex,8,reactive,1,1,1,1,-552.9429635922113
convex,8,reactive,2,25,1,1,-552.9429635922113
convex,8,reactive,2,25,2,25,-523.9809528559447
convex,8,reactive,3,50,1,1,-552.9429635922113
convex,8,reactive,3,50,2,25,-523.9809528559447
convex,8,reactive,3,50,3,50,-518.1131430032352
convex,8,reactive,4,75,1,1,-552.9429635922113
convex,8,reactive,4,75,2,25,-523.9809528559447
convex,8,reactive,4,75,3,50,-518.1131430032352
convex,8,reactive,4,75,4,75,-558.9565045118336
convex,8,reactive,5,100,1,1,-552.9429635922113
convex,8,reactive,5,100,2,25,-523.9809528559447
convex,8,reactive,5,100,3,50,-518.1131430032352
convex,8,reactive,5,100,4,75,-558.9565045118336
convex,8,reactive,5,100,5,100,-550.881430483858
convex,8,reactive,6,125,1,1,-552.9429635922113
convex,8,reactive,6,125,2,25,-523.9809528559447
convex,8,reactive,6,125,3,50,-518.1131430032352
convex,8,reactive,6,125,4,75,-558.9565045118336
convex,8,reactive,6,125,5,100,-550.881430483858
convex,8,reactive,6,125,6,125,-348.3140161792436
convex,9,naive,1,1,1,1,-281.9760224223137
convex,9,naive,2,25,1,1,-428.80240815877914
convex,9,naive,2,25,2,25,-338.87352126836777
convex,9,naive,3,50,1,1,-930.709127008915
convex,9,naive,3,50,2,25,-338.87352126836777
convex,9,naive,3,50,3,50,-547.7871016860008
convex,9,naive,4,75,1,1,-903.0862780213356
convex,9,naive,4,75,2,25,-338.87352126836777
convex,9,naive,4,75,3,50,-547.7871016860008
convex,9,naive,4,75,4,75,-454.9441941976547
convex,9,naive,5,100,1,1,-876.4481816887856
convex,9,naive,5,100,2,25,-338.87352126836777
convex,9,naive,5,100,3,50,-547.7871016860008
convex,9,naive,5,100,4,75,-454.9441941976547
convex,9,naive,5,100,5,100,-372.09339106082916
convex,9,naive,6,125,1,1,-886.3986302018166
convex,9,naive,6,125,2,25,-338.87352126836777
convex,9,naive,6,125,3,50,-547.7871016860008
convex,9,naive,6,125,4,75,-454.9441941976547
convex,9,naive,6,125,5,100,-372.09339106082916
convex,9,naive,6,125,6,125,-174.82069963216782
convex,9,replay,1,1,1,1,-281.9760224223137
convex,9,replay,2,25,1,1,-289.7095237970352
convex,9,replay,2,25,2,25,-338.87352126836777
convex,9,replay,3,50,1,1,-228.21902114152908
convex,9,replay,3,50,2,25,-338.87352126836777
convex,9,replay,3,50,3,50,-343.9122267961502
convex,9,replay,4,75,1,1,-208.77336883544922
convex,9,replay,4,75,2,25,-338.87352126836777
convex,9,replay,4,75,3,50,-341.4096316099167
convex,9,replay,4,75,4,75,-454.9441941976547
convex,9,replay,5,100,1,1,-232.08646088838577
convex,9,replay,5,100,2,25,-347.7630412578583
convex,9,replay,5,100,3,50,-335.3813407421112
convex,9,replay,5,100,4,75,-454.9441941976547
convex,9,replay,5,100,5,100,-389.18115401268005
convex,9,replay,6,125,1,1,-204.2616050839424
convex,9,replay,6,125,2,25,-347.7630412578583
convex,9,replay,6,125,3,50,-345.79328322410583
convex,9,replay,6,125,4,75,-463.63178181648254
convex,9,replay,6,125,5,100,-391.7270028591156
convex,9,replay,6,125,6,125,-174.50248396396637
convex,9,reactive,1,1,1,1,-552.9429635922113
convex,9,reactive,2,25,1,1,-552.9429635922113
convex,9,reactive,2,25,2,25,-523.9809528559447
convex,9,reactive,3,50,1,1,-552.9429635922113
convex,9,reactive,3,50,2,25,-523.9809528559447
convex,9,reactive,3,50,3,50,-518.1131430032352
convex,9,reactive,4,75,1,1,-552.9429635922113
convex,9,reactive,4,75,2,25,-523.9809528559447
convex,9,reactive,4,75,3,50,-518.1131430032352
convex,9,reactive,4,75,4,75,-558.9565045118336
convex,9,reactive,5,100,1,1,-552.9429635922113
convex,9,reactive,5,100,2,25,-523.9809528559447
