timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha,capacity_per_task
0,1.8411851,79.557724,0.9916266,0.079557724,1000,1,convex,0.04457436427364582,2.0,1.0
300,1.7101878,77.13064,0.98919404,0.07713064,1000,1,convex,0.04457436427364582,2.0,1.0
600,1.573678,74.463234,0.9883048,0.07446323,1000,1,convex,0.04457436427364582,2.0,1.0
900,1.5907861,73.924644,0.98719823,0.073924646,1000,1,convex,0.04457436427364582,2.0,1.0
1200,1.5970559,74.300575,0.9719146,0.07430057,1000,1,convex,0.04457436427364582,2.0,1.0
1500,1.6422524,76.80538,0.99240017,0.07680538,1000,1,convex,0.04457436427364582,2.0,1.0
1800,1.5866598,74.18524,0.9879465,0.074185245,1000,1,convex,0.04457436427364582,2.0,1.0
2100,1.5342394,73.33899,0.98645294,0.07333899,1000,1,convex,0.04457436427364582,2.0,1.0
2400,1.6161108,75.1518,0.9902946,0.0751518,1000,1,convex,0.04457436427364582,2.0,1.0
2700,1.6492015,75.694695,0.9857112,0.075694695,1000,1,convex,0.04457436427364582,2.0,1.0
3000,1.6203291,74.75265,0.98637193,0.07475264,1000,1,convex,0.04457436427364582,2.0,1.0
3300,1.7658429,78.00474,0.990643,0.07800474,1000,1,convex,0.04457436427364582,2.0,1.0
3600,1.7186915,77.19874,0.99067235,0.07719874,1000,1,convex,0.04457436427364582,2.0,1.0
3900,1.647962,74.94621,0.98750055,0.07494621,1000,1,convex,0.04457436427364582,2.0,1.0
4200,1.4961317,72.2179,0.9860786,0.072217904,1000,1,convex,0.04457436427364582,2.0,1.0
4500,1.4972075,71.271545,0.9897735,0.071271546,1000,1,convex,0.04457436427364582,2.0,1.0
4800,1.5568818,73.11518,0.9927077,0.07311518,1000,1,convex,0.04457436427364582,2.0,1.0
5100,1.627659,75.78295,0.98776597,0.075782955,1000,1,convex,0.04457436427364582,2.0,1.0
5400,1.6725426,76.12134,0.9899163,0.07612134,1000,1,convex,0.04457436427364582,2.0,1.0
5700,1.6585588,75.85928,0.99015707,0.075859286,1000,1,convex,0.04457436427364582,2.0,1.0
6000,1.7151213,77.48911,0.99058026,0.077489115,1000,1,convex,0.04457436427364582,2.0,1.0
6300,1.6628674,75.74995,0.99096674,0.07574995,1000,1,convex,0.04457436427364582,2.0,1.0
6600,1.6845146,75.65387,0.9906064,0.075653866,1000,1,convex,0.04457436427364582,2.0,1.0
6900,1.6962816,77.07431,0.99078435,0.07707431,1000,1,convex,0.04457436427364582,2.0,1.0
7200,1.9623917,82.54755,0.98924977,0.082547545,1000,1,convex,0.04457436427364582,2.0,1.0
7500,2.008583,83.417404,0.9956504,0.0834174,1000,1,convex,0.04457436427364582,2.0,1.0
7800,1.7394112,77.51389,0.98924994,0.077513896,1000,1,convex,0.04457436427364582,2.0,1.0
8100,1.6104109,74.69844,0.9894736,0.07469844,1000,1,convex,0.04457436427364582,2.0,1.0
8400,1.6340761,74.799835,0.99106723,0.074799836,1000,1,convex,0.04457436427364582,2.0,1.0
8700,1.6604595,76.00517,0.9911911,0.076005176,1000,1,convex,0.04457436427364582,2.0,1.0
9000,1.6004486,73.81493,0.9899683,0.073814936,1000,1,convex,0.04457436427364582,2.0,1.0
9300,1.6194992,74.73745,0.9900042,0.07473745,1000,1,convex,0.04457436427364582,2.0,1.0
9600,1.6611913,75.3823,0.9900497,0.0753823,1000,1,convex,0.04457436427364582,2.0,1.0
9900,1.6776745,75.611664,0.99002934,0.075611666,1000,1,convex,0.04457436427364582,2.0,1.0
10200,1.5788792,72.97397,0.9892599,0.07297397,1000,1,convex,0.04457436427364582,2.0,1.0
