mapping,seed,checkpoint,stage,naive_task_1_reward,replay_task_1_reward,reactive_stage_reward,naive_rolling_bwt,replay_rolling_bwt,naive_forgetting,replay_forgetting
linear,7,1,1,-366.7036956548691,-366.7036956548691,-423.8431103388468,0.0,0.0,0.0,0.0
linear,7,25,2,-1015.1699900627136,-366.7036956548691,-434.18704797029477,-648.4662944078445,0.0,648.4662944078445,0.0
linear,7,50,3,-349.1242551803589,-327.59791588783264,-491.9237703184287,17.579440474510193,39.10577976703644,0.0,0.0
linear,7,75,4,-347.23823404312134,-329.33999133110046,-490.17961324453336,19.46546161174774,37.363704323768616,0.0,0.0
linear,7,100,5,-515.4153447151184,-323.4201319515705,-499.83730963468537,-148.71164906024933,43.28356370329857,148.71164906024933,0.0
linear,7,125,6,-363.47573232650757,-307.44748416543007,-287.77653590838116,3.2279633283615112,59.25621148943901,0.0,0.0
linear,8,1,1,-521.3064260482788,-521.3064260482788,-423.8431103388468,0.0,0.0,0.0,0.0
linear,8,25,2,-735.3730783462524,-484.5246903896332,-434.18704797029477,-214.06665229797363,36.78173565864563,214.06665229797363,0.0
linear,8,50,3,-630.7741222381592,-370.8367805480957,-491.9237703184287,-109.46769618988037,150.4696455001831,109.46769618988037,0.0
linear,8,75,4,-661.2832803726196,-383.4295406341553,-490.17961324453336,-139.97685432434082,137.87688541412354,139.97685432434082,0.0
linear,8,100,5,-271.847654491663,-353.22826302051544,-499.83730963468537,249.45877155661583,168.07816302776337,0.0,0.0
linear,8,125,6,-291.4008095562458,-334.1458456516266,-287.77653590838116,229.905616492033,187.16058039665222,0.0,0.0
linear,9,1,1,-515.2979836463928,-515.2979836463928,-423.8431103388468,0.0,0.0,0.0,0.0
linear,9,25,2,-962.7810921669006,-338.4089767932892,-434.18704797029477,-447.4831085205078,176.88900685310364,447.4831085205078,0.0
linear,9,50,3,-962.7810921669006,-347.28261482715607,-491.9237703184287,-447.4831085205078,168.01536881923676,447.4831085205078,0.0
linear,9,75,4,-962.7810921669006,-361.8655699491501,-490.17961324453336,-447.4831085205078,153.43241369724274,447.4831085205078,0.0
linear,9,100,5,-962.7810921669006,-322.2956680059433,-499.83730963468537,-447.4831085205078,193.00231564044952,447.4831085205078,0.0
linear,9,125,6,-962.7810921669006,-283.0023593902588,-287.77653590838116,-447.4831085205078,232.29562425613403,447.4831085205078,0.0
