step,checkpoint,checkpoint_step,boundary_gap_filled,raw_demand,demand,capacity,task_count,capacity_per_task,slo_violation,reactive_task_count,reactive_capacity
0,1,0,False,1.48599112033844,1.48599112033844,1.0,1,1.0,True,3,3.0
1,1,1,False,1.1307545900344849,1.1307545900344849,2.0,2,1.0,False,3,3.0
2,1,2,False,1.1553699970245361,1.1553699970245361,2.0,2,1.0,False,3,3.0
3,1,3,False,1.1869895458221436,1.1869895458221436,2.0,2,1.0,False,3,3.0
4,1,4,False,1.1229661703109741,1.1229661703109741,2.0,2,1.0,False,3,3.0
5,1,5,False,1.1868833303451538,1.1868833303451538,2.0,2,1.0,False,3,3.0
6,1,6,False,1.1699249744415283,1.1699249744415283,2.0,2,1.0,False,3,3.0
7,1,7,False,1.1329776048660278,1.1329776048660278,2.0,2,1.0,False,3,3.0
8,1,8,False,1.1670578718185425,1.1670578718185425,2.0,2,1.0,False,3,3.0
9,1,9,False,1.226682424545288,1.226682424545288,2.0,2,1.0,False,3,3.0
10,1,10,False,1.1810693740844727,1.1810693740844727,2.0,2,1.0,False,3,3.0
11,1,11,False,1.3146165609359741,1.3146165609359741,2.0,2,1.0,False,3,3.0
12,1,12,False,1.4696415662765503,1.4696415662765503,2.0,2,1.0,False,3,3.0
13,1,13,False,1.1617463827133179,1.1617463827133179,2.0,2,1.0,False,3,3.0
14,1,14,False,1.138307809829712,1.138307809829712,2.0,2,1.0,False,3,3.0
15,1,15,False,1.1171849966049194,1.1171849966049194,2.0,2,1.0,False,3,3.0
16,1,16,False,1.1276094913482666,1.1276094913482666,2.0,2,1.0,False,3,3.0
17,1,17,False,1.1501860618591309,1.1501860618591309,2.0,2,1.0,False,3,3.0
18,1,18,False,1.5856515169143677,1.5856515169143677,2.0,2,1.0,False,3,3.0
19,1,19,False,1.6135693788528442,1.6135693788528442,2.0,2,1.0,False,3,3.0
20,1,20,False,1.597650170326233,1.597650170326233,2.0,2,1.0,False,3,3.0
21,1,21,False,1.7058181762695312,1.7058181762695312,2.0,2,1.0,False,3,3.0
22,1,22,False,1.6617512702941895,1.6617512702941895,2.0,2,1.0,False,3,3.0
23,1,23,False,1.6132489442825317,1.6132489442825317,2.0,2,1.0,False,3,3.0
24,1,24,False,1.8167779445648193,1.8167779445648193,2.0,2,1.0,False,3,3.0
25,1,25,False,2.083684206008911,2.083684206008911,2.0,2,1.0,True,3,3.0
