mapping,seed,method,final_task_1_bwt,final_mean_prior_bwt
linear,7,naive,3.2279633283615112,-67.25308971107006
linear,7,replay,59.25621148943901,70.50827076733113
linear,7,reactive,0.0,0.0
linear,8,naive,229.905616492033,-19.839972594380377
linear,8,replay,187.16058039665222,68.05254281759262
linear,8,reactive,0.0,0.0
linear,9,naive,-447.4831085205078,-89.49662170410156
linear,9,replay,232.29562425613403,98.97713389992714
linear,9,reactive,0.0,0.0
linear,10,naive,240.57763132452965,71.97330431044102
linear,10,replay,202.47214317321777,43.043779575824736
linear,10,reactive,0.0,0.0
linear,11,naive,0.0,-0.9159780502319336
linear,11,replay,575.0886206626892,169.80839931368828
linear,11,reactive,0.0,0.0
