mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
linear,7,naive,1,1,1,1,-366.7036956548691
linear,7,naive,2,25,1,1,-1015.1699900627136
linear,7,naive,2,25,2,25,-106.11182725429535
linear,7,naive,3,50,1,1,-349.1242551803589
linear,7,naive,3,50,2,25,-106.11182725429535
linear,7,naive,3,50,3,50,-430.0934489965439
linear,7,naive,4,75,1,1,-347.23823404312134
linear,7,naive,4,75,2,25,-106.11182725429535
linear,7,naive,4,75,3,50,-445.06700360774994
linear,7,naive,4,75,4,75,-222.24761040508747
linear,7,naive,5,100,1,1,-515.4153447151184
linear,7,naive,5,100,2,25,-106.11182725429535
linear,7,naive,5,100,3,50,-396.92273876070976
linear,7,naive,5,100,4,75,-222.24761040508747
linear,7,naive,5,100,5,100,-404.91514879465103
linear,7,naive,6,125,1,1,-363.47573232650757
linear,7,naive,6,125,2,25,-378.03742986917496
linear,7,naive,6,125,3,50,-350.7238675355911
linear,7,naive,6,125,4,75,-424.18382889032364
linear,7,naive,6,125,5,100,-349.91632103919983
linear,7,naive,6,125,6,125,-180.16480588912964
linear,7,replay,1,1,1,1,-366.7036956548691
linear,7,replay,2,25,1,1,-366.7036956548691
linear,7,replay,2,25,2,25,-420.43417978286743
linear,7,replay,3,50,1,1,-327.59791588783264
linear,7,replay,3,50,2,25,-378.68676376342773
linear,7,replay,3,50,3,50,-350.5404163002968
linear,7,replay,4,75,1,1,-329.33999133110046
linear,7,replay,4,75,2,25,-138.28224855661392
linear,7,replay,4,75,3,50,-336.2523286342621
linear,7,replay,4,75,4,75,-293.8493862748146
linear,7,replay,5,100,1,1,-323.4201319515705
linear,7,replay,5,100,2,25,-133.59539449214935
linear,7,replay,5,100,3,50,-389.1286380290985
linear,7,replay,5,100,4,75,-268.34049636125565
linear,7,replay,5,100,5,100,-232.74415488541126
linear,7,replay,6,125,1,1,-307.44748416543007
linear,7,replay,6,125,2,25,-115.2293649315834
linear,7,replay,6,125,3,50,-435.26244908571243
linear,7,replay,6,125,4,75,-243.46104241907597
linear,7,replay,6,125,5,100,-210.33013845980167
linear,7,replay,6,125,6,125,-206.79607009887695
linear,7,reactive,1,1,1,1,-423.8431103388468
linear,7,reactive,2,25,1,1,-423.8431103388468
linear,7,reactive,2,25,2,25,-434.18704797029477
linear,7,reactive,3,50,1,1,-423.8431103388468
linear,7,reactive,3,50,2,25,-434.18704797029477
linear,7,reactive,3,50,3,50,-491.9237703184287
linear,7,reactive,4,75,1,1,-423.8431103388468
linear,7,reactive,4,75,2,25,-434.18704797029477
linear,7,reactive,4,75,3,50,-491.9237703184287
linear,7,reactive,4,75,4,75,-490.17961324453336
linear,7,reactive,5,100,1,1,-423.8431103388468
linear,7,reactive,5,100,2,25,-434.18704797029477
linear,7,reactive,5,100,3,50,-491.9237703184287
linear,7,reactive,5,100,4,75,-490.17961324453336
linear,7,reactive,5,100,5,100,-499.83730963468537
linear,7,reactive,6,125,1,1,-423.8431103388468
linear,7,reactive,6,125,2,25,-434.18704797029477
linear,7,reactive,6,125,3,50,-491.9237703184287
linear,7,reactive,6,125,4,75,-490.17961324453336
linear,7,reactive,6,125,5,100,-499.83730963468537
linear,7,reactive,6,125,6,125,-287.77653590838116
linear,8,naive,1,1,1,1,-521.3064260482788
linear,8,naive,2,25,1,1,-735.3730783462524
linear,8,naive,2,25,2,25,-106.11182725429535
linear,8,naive,3,50,1,1,-630.7741222381592
linear,8,naive,3,50,2,25,-106.11182725429535
linear,8,naive,3,50,3,50,-366.11537343263626
linear,8,naive,4,75,1,1,-661.2832803726196
linear,8,naive,4,75,2,25,-106.11182725429535
linear,8,naive,4,75,3,50,-370.9131129384041
linear,8,naive,4,75,4,75,-222.24761040508747
linear,8,naive,5,100,1,1,-271.847654491663
linear,8,naive,5,100,2,25,-106.11182725429535
linear,8,naive,5,100,3,50,-299.1884918808937
linear,8,naive,5,100,4,75,-222.24761040508747
linear,8,naive,5,100,5,100,-281.05495961010456
linear,8,naive,6,125,1,1,-291.4008095562458
linear,8,naive,6,125,2,25,-342.9736883044243
linear,8,naive,6,125,3,50,-356.9353161454201
linear,8,naive,6,125,4,75,-278.3409012556076
linear,8,naive,6,125,5,100,-326.3853444606066
linear,8,naive,6,125,6,125,-180.16480588912964
linear,8,replay,1,1,1,1,-521.3064260482788
linear,8,replay,2,25,1,1,-484.5246903896332
linear,8,replay,2,25,2,25,-288.01328974962234
linear,8,replay,3,50,1,1,-370.8367805480957
linear,8,replay,3,50,2,25,-288.01328974962234
linear,8,replay,3,50,3,50,-348.99952548742294
linear,8,replay,4,75,1,1,-383.4295406341553
linear,8,replay,4,75,2,25,-279.6771962046623
linear,8,replay,4,75,3,50,-335.29013711214066
linear,8,replay,4,75,4,75,-274.94506841897964
linear,8,replay,5,100,1,1,-353.22826302051544
linear,8,replay,5,100,2,25,-228.0284361243248
linear,8,replay,5,100,3,50,-357.498209297657
linear,8,replay,5,100,4,75,-240.1430123448372
linear,8,replay,5,100,5,100,-339.6108686476946
linear,8,replay,6,125,1,1,-334.1458456516266
linear,8,replay,6,125,2,25,-193.09741926193237
linear,8,replay,6,125,3,50,-347.2044375538826
linear,8,replay,6,125,4,75,-241.25799161195755
linear,8,replay,6,125,5,100,-316.9067701846361
linear,8,replay,6,125,6,125,-345.6524991989136
linear,8,reactive,1,1,1,1,-423.8431103388468
linear,8,reactive,2,25,1,1,-423.8431103388468
linear,8,reactive,2,25,2,25,-434.18704797029477
linear,8,reactive,3,50,1,1,-423.8431103388468
linear,8,reactive,3,50,2,25,-434.18704797029477
linear,8,reactive,3,50,3,50,-491.9237703184287
linear,8,reactive,4,75,1,1,-423.8431103388468
linear,8,reactive,4,75,2,25,-434.18704797029477
linear,8,reactive,4,75,3,50,-491.9237703184287
linear,8,reactive,4,75,4,75,-490.17961324453336
linear,8,reactive,5,100,1,1,-423.8431103388468
linear,8,reactive,5,100,2,25,-434.18704797029477
linear,8,reactive,5,100,3,50,-491.9237703184287
linear,8,reactive,5,100,4,75,-490.17961324453336
linear,8,reactive,5,100,5,100,-499.83730963468537
linear,8,reactive,6,125,1,1,-423.8431103388468
linear,8,reactive,6,125,2,25,-434.18704797029477
linear,8,reactive,6,125,3,50,-491.9237703184287
linear,8,reactive,6,125,4,75,-490.17961324453336
linear,8,reactive,6,125,5,100,-499.83730963468537
linear,8,reactive,6,125,6,125,-287.77653590838116
linear,9,naive,1,1,1,1,-515.2979836463928
linear,9,naive,2,25,1,1,-962.7810921669006
linear,9,naive,2,25,2,25,-106.11182725429535
linear,9,naive,3,50,1,1,-962.7810921669006
linear,9,naive,3,50,2,25,-106.11182725429535
linear,9,naive,3,50,3,50,-602.0357623398304
linear,9,naive,4,75,1,1,-962.7810921669006
linear,9,naive,4,75,2,25,-106.11182725429535
linear,9,naive,4,75,3,50,-593.0596944391727
linear,9,naive,4,75,4,75,-222.24761040508747
linear,9,naive,5,100,1,1,-962.7810921669006
linear,9,naive,5,100,2,25,-106.11182725429535
linear,9,naive,5,100,3,50,-602.0357623398304
linear,9,naive,5,100,4,75,-222.24761040508747
linear,9,naive,5,100,5,100,-342.0853231102228
linear,9,naive,6,125,1,1,-962.7810921669006
linear,9,naive,6,125,2,25,-106.11182725429535
linear,9,naive,6,125,3,50,-602.0357623398304
linear,9,naive,6,125,4,75,-222.24761040508747
linear,9,naive,6,125,5,100,-342.0853231102228
linear,9,naive,6,125,6,125,-491.9416091442108
linear,9,replay,1,1,1,1,-515.2979836463928
linear,9,replay,2,25,1,1,-338.4089767932892
linear,9,replay,2,25,2,25,-131.4870489835739
linear,9,replay,3,50,1,1,-347.28261482715607
linear,9,replay,3,50,2,25,-164.09495621919632
linear,9,replay,3,50,3,50,-500.36032542586327
linear,9,replay,4,75,1,1,-361.8655699491501
linear,9,replay,4,75,2,25,-229.5750407576561
linear,9,replay,4,75,3,50,-358.2845340371132
linear,9,replay,4,75,4,75,-261.4060681462288
linear,9,replay,5,100,1,1,-322.2956680059433
linear,9,replay,5,100,2,25,-203.6120439171791
