timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha,capacity_per_task
0,1.9112248,79.557724,0.9916266,0.079557724,1000,1,linear,0.02402312131976521,2.0,1.0
300,1.8529186,77.13064,0.98919404,0.07713064,1000,1,linear,0.02402312131976521,2.0,1.0
600,1.7888393,74.463234,0.9883048,0.07446323,1000,1,linear,0.02402312131976521,2.0,1.0
900,1.7759007,73.924644,0.98719823,0.073924646,1000,1,linear,0.02402312131976521,2.0,1.0
1200,1.7849318,74.300575,0.9719146,0.07430057,1000,1,linear,0.02402312131976521,2.0,1.0
1500,1.845105,76.80538,0.99240017,0.07680538,1000,1,linear,0.02402312131976521,2.0,1.0
1800,1.782161,74.18524,0.9879465,0.074185245,1000,1,linear,0.02402312131976521,2.0,1.0
2100,1.7618314,73.33899,0.98645294,0.07333899,1000,1,linear,0.02402312131976521,2.0,1.0
2400,1.8053808,75.1518,0.9902946,0.0751518,1000,1,linear,0.02402312131976521,2.0,1.0
2700,1.8184228,75.694695,0.9857112,0.075694695,1000,1,linear,0.02402312131976521,2.0,1.0
3000,1.7957919,74.75265,0.98637193,0.07475264,1000,1,linear,0.02402312131976521,2.0,1.0
3300,1.8739172,78.00474,0.990643,0.07800474,1000,1,linear,0.02402312131976521,2.0,1.0
3600,1.8545547,77.19874,0.99067235,0.07719874,1000,1,linear,0.02402312131976521,2.0,1.0
3900,1.800442,74.94621,0.98750055,0.07494621,1000,1,linear,0.02402312131976521,2.0,1.0
4200,1.7348994,72.2179,0.9860786,0.072217904,1000,1,linear,0.02402312131976521,2.0,1.0
4500,1.712165,71.271545,0.9897735,0.071271546,1000,1,linear,0.02402312131976521,2.0,1.0
4800,1.7564548,73.11518,0.9927077,0.07311518,1000,1,linear,0.02402312131976521,2.0,1.0
5100,1.820543,75.78295,0.98776597,0.075782955,1000,1,linear,0.02402312131976521,2.0,1.0
5400,1.8286722,76.12134,0.9899163,0.07612134,1000,1,linear,0.02402312131976521,2.0,1.0
5700,1.8223767,75.85928,0.99015707,0.075859286,1000,1,linear,0.02402312131976521,2.0,1.0
6000,1.8615303,77.48911,0.99058026,0.077489115,1000,1,linear,0.02402312131976521,2.0,1.0
6300,1.8197502,75.74995,0.99096674,0.07574995,1000,1,linear,0.02402312131976521,2.0,1.0
6600,1.817442,75.65387,0.9906064,0.075653866,1000,1,linear,0.02402312131976521,2.0,1.0
6900,1.8515655,77.07431,0.99078435,0.07707431,1000,1,linear,0.02402312131976521,2.0,1.0
7200,1.9830498,82.54755,0.98924977,0.082547545,1000,1,linear,0.02402312131976521,2.0,1.0
7500,2.0039463,83.417404,0.9956504,0.0834174,1000,1,linear,0.02402312131976521,2.0,1.0
7800,1.8621256,77.51389,0.98924994,0.077513896,1000,1,linear,0.02402312131976521,2.0,1.0
8100,1.7944897,74.69844,0.9894736,0.07469844,1000,1,linear,0.02402312131976521,2.0,1.0
8400,1.7969255,74.799835,0.99106723,0.074799836,1000,1,linear,0.02402312131976521,2.0,1.0
8700,1.8258815,76.00517,0.9911911,0.076005176,1000,1,linear,0.02402312131976521,2.0,1.0
9000,1.7732651,73.81493,0.9899683,0.073814936,1000,1,linear,0.02402312131976521,2.0,1.0
9300,1.7954268,74.73745,0.9900042,0.07473745,1000,1,linear,0.02402312131976521,2.0,1.0
9600,1.8109182,75.3823,0.9900497,0.0753823,1000,1,linear,0.02402312131976521,2.0,1.0
9900,1.8164282,75.611664,0.99002934,0.075611666,1000,1,linear,0.02402312131976521,2.0,1.0
10200,1.7530625,72.97397,0.9892599,0.07297397,1000,1,linear,0.02402312131976521,2.0,1.0
