mapping,seed,method,final_task_1_bwt,final_mean_prior_bwt
linear,7,naive,3.2279633283615112,-67.25308971107006
linear,7,replay,59.25621148943901,70.50827076733113
linear,7,reactive,0.0,0.0
linear,8,naive,229.905616492033,-19.839972594380377
linear,8,replay,187.16058039665222,68.05254281759262
linear,8,reactive,0.0,0.0
linear,9,naive,-447.4831085205078,-89.49662170410156
linear,9,replay,232.29562425613403,98.97713389992714
linear,9,reactive,0.0,0.0
linear,10,naive,240.57763132452965,71.97330431044102
linear,10,replay,202.47214317321777,43.043779575824736
linear,10,reactive,0.0,0.0
linear,11,naive,0.0,-0.9159780502319336
linear,11,replay,575.0886206626892,169.80839931368828
linear,11,reactive,0.0,0.0
convex,7,naive,-150.66662418842316,-57.615170085430144
convex,7,replay,208.8256250023842,99.34223185777664
convex,7,reactive,0.0,0.0
convex,8,naive,-142.73888492584229,-138.32987945079805
convex,8,replay,281.5071147084236,62.841961693763736
convex,8,reactive,0.0,0.0
convex,9,naive,-604.4226077795029,-120.88452155590058
convex,9,replay,77.71441733837128,11.142080891132355
convex,9,reactive,0.0,0.0
convex,10,naive,0.0,-39.29381775856018
convex,10,replay,422.44841104745865,84.55442798137665
convex,10,reactive,0.0,0.0
convex,11,naive,-190.50956124067307,-86.84117439985275
convex,11,replay,42.83334684371948,2.9245691180229185
convex,11,reactive,0.0,0.0
threshold,7,naive,187.36262506246567,54.194087433815
threshold,7,replay,233.66292887926102,51.88218476772308
threshold,7,reactive,0.0,0.0
threshold,8,naive,-8.382192730903625,2.998615038394928
threshold,8,replay,68.5145029425621,46.87388519048691
threshold,8,reactive,0.0,0.0
threshold,9,naive,-345.7666754722595,-131.7377069234848
threshold,9,replay,241.50267046689987,49.30699633359909
threshold,9,reactive,0.0,0.0
threshold,10,naive,-472.501921415329,-101.90614256858825
threshold,10,replay,-472.501921415329,-92.51412258148193
threshold,10,reactive,0.0,0.0
threshold,11,naive,0.0,-17.25638942718506
threshold,11,replay,603.1103162169456,170.08991059064866
threshold,11,reactive,0.0,0.0
