mapping,seed,method,final_task_1_bwt,final_mean_prior_bwt
threshold,7,naive,187.36262506246567,54.194087433815
threshold,7,replay,233.66292887926102,51.88218476772308
threshold,7,reactive,0.0,0.0
threshold,8,naive,-8.382192730903625,2.998615038394928
threshold,8,replay,68.5145029425621,46.87388519048691
threshold,8,reactive,0.0,0.0
threshold,9,naive,-345.7666754722595,-131.7377069234848
threshold,9,replay,241.50267046689987,49.30699633359909
threshold,9,reactive,0.0,0.0
threshold,10,naive,-472.501921415329,-101.90614256858825
threshold,10,replay,-472.501921415329,-92.51412258148193
threshold,10,reactive,0.0,0.0
threshold,11,naive,0.0,-17.25638942718506
threshold,11,replay,603.1103162169456,170.08991059064866
threshold,11,reactive,0.0,0.0
