mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
threshold,7,naive,1,1,1,1,-509.20416021347046
threshold,7,naive,2,25,1,1,-725.5279899835587
threshold,7,naive,2,25,2,25,-295.2607424259186
threshold,7,naive,3,50,1,1,-359.0071153640747
threshold,7,naive,3,50,2,25,-295.2607424259186
threshold,7,naive,3,50,3,50,-451.75514513254166
threshold,7,naive,4,75,1,1,-347.0723719596863
threshold,7,naive,4,75,2,25,-295.2607424259186
threshold,7,naive,4,75,3,50,-415.21667343378067
threshold,7,naive,4,75,4,75,-365.4599006175995
threshold,7,naive,5,100,1,1,-415.80935007333755
threshold,7,naive,5,100,2,25,-295.2607424259186
threshold,7,naive,5,100,3,50,-530.0185035467148
threshold,7,naive,5,100,4,75,-365.4599006175995
threshold,7,naive,5,100,5,100,-292.2541800737381
threshold,7,naive,6,125,1,1,-321.8415351510048
threshold,7,naive,6,125,2,25,-295.2607424259186
threshold,7,naive,6,125,3,50,-371.3081418275833
threshold,7,naive,6,125,4,75,-365.4599006175995
threshold,7,naive,6,125,5,100,-289.0933712720871
threshold,7,naive,6,125,6,125,-107.49730014801025
threshold,7,replay,1,1,1,1,-509.20416021347046
threshold,7,replay,2,25,1,1,-307.06707763671875
threshold,7,replay,2,25,2,25,-295.2607424259186
threshold,7,replay,3,50,1,1,-308.5768812298775
threshold,7,replay,3,50,2,25,-295.2607424259186
threshold,7,replay,3,50,3,50,-307.7680895924568
threshold,7,replay,4,75,1,1,-246.96021246910095
threshold,7,replay,4,75,2,25,-295.2607424259186
threshold,7,replay,4,75,3,50,-294.3564246892929
threshold,7,replay,4,75,4,75,-365.4599006175995
threshold,7,replay,5,100,1,1,-255.5358483195305
threshold,7,replay,5,100,2,25,-295.2607424259186
threshold,7,replay,5,100,3,50,-259.2583529353142
threshold,7,replay,5,100,4,75,-359.0627374649048
threshold,7,replay,5,100,5,100,-290.3066567182541
threshold,7,replay,6,125,1,1,-275.54123133420944
threshold,7,replay,6,125,2,25,-295.2607424259186
threshold,7,replay,6,125,3,50,-289.30292093753815
threshold,7,replay,6,125,4,75,-365.4599006175995
threshold,7,replay,6,125,5,100,-283.02383041381836
threshold,7,replay,6,125,6,125,-137.51072573661804
threshold,7,reactive,1,1,1,1,-512.2088867704073
threshold,7,reactive,2,25,1,1,-512.2088867704073
threshold,7,reactive,2,25,2,25,-421.0449046611784
threshold,7,reactive,3,50,1,1,-512.2088867704073
threshold,7,reactive,3,50,2,25,-421.0449046611784
threshold,7,reactive,3,50,3,50,-545.1814626355963
threshold,7,reactive,4,75,1,1,-512.2088867704073
threshold,7,reactive,4,75,2,25,-421.0449046611784
threshold,7,reactive,4,75,3,50,-545.1814626355963
